Date,Time,Plant_lights,Wharf lights,Total_LESP_per_round,Total_LESP_per_night,Total_ad_LESP_per_night,Total_juv_LESP_per_night,Total_unk_LESP_per_night,Live_LESP_per_night,Dead_LESP_per_night,Live_adults,Dead_adults,Live_breeding_adults,Dead_breeding_adults,Live_nonbreeders,Dead_nonbreeders,Live_juveniles,Dead_juveniles,Location of birds?,# of gulls,# of cats,"# other predators , please list",Weather_Conditions,Lunar,Wind_Speed,Wind_Direction,# of boats,"Time of boats arrival (24 hr time, please list with comma in between)",Size of vessel (ft) (please list with comma in between),Type of lighting on boats (please list with comma in between and specify ON/OFF),Notes,Ref,Weather Coding
06/30/2022,03:57:00,On,On,0,,,,,,,,,,,,,,,NA,1,0,,3,2.4,35,15,0,,,,no weather data available so estimated from st. john's weather,4 am June 30 custom weather data,
07/13/2022,22:16:00,On,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,0,0,,1,99.2,55,24,0,,,,,,
07/13/2022,23:36:00,On,On,0,4,4,0,0,4,1,0,0,0,0,0,0,0,0,NA,3,1,,1,99.2,55,24,0,,,,"2 flying around, one hit the plant but took off when approached",,
07/14/2022,00:32:00,On,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,2,1,,1,99.2,50,18,0,,,,"1 flying, hit wall but flew away when Ed tried to pick up",,
07/14/2022,02:21:00,On,On,3,,,,,,,3,0,1,0,2,0,0,0,Front of fish plant,4,2,,2,99.2,50,18,0,,,,,,
07/14/2022,03:18:00,On,On,1,,,,,,,0,1,0,,0,,0,0,Front of fish plant,1,2,,2,99.2,50,18,,,,,Dead bird had been dead for some time found in rat trap,,
07/27/2022,22:07:00,On,On,0,33,33,0,0,33,0,,,,,,,,,NA,3,1,,1,1.3,48,23,0,,,,"Weather data not available, used weather from same night at 02:11",,
07/27/2022,23:27:00,On,On,1,,,,,,,1,0,1,0,0,0,0,0,Front of fish plant,0,1,,1,1.3,48,23,0,,,,"Weather data not available, used weather from same night at 02:11",,
07/28/2022,00:40:00,On,On,13,,,,,,,13,0,6,0,7,0,0,0,Front of fish plant,0,2,,1,0.2,38,3,0,,,,"3 old carcasses, accidentally wrote breeding info twice in sheet double check, weather data not available, used weather from closest time from same night at 02:11",,
07/28/2022,02:11:00,On,On,17,,,,,,,17,0,11,0,4,0,0,0,Front of fish plant,0,1,,1,0.2,38,3,0,,,,"1 carcass old, 2 escaped",,
07/28/2022,03:46:00,On,On,2,,,,,,,2,0,0,0,2,0,0,0,Front of fish plant,0,0,,1,0.2,38,3,2,"03:27, 03:39","65, 65","LED on, on",,,
07/28/2022,22:25:00,Off,On,1,4,4,0,0,4,0,1,0,0,0,1,0,0,0,Loading dock,0,0,,1,0.2,38,3,0,,,,Seemingly there since the night before,,
07/28/2022,23:19:00,Off,On,1,,,,,,,1,0,1,0,0,0,0,0,Front of fish plant,0,3,0,1,0.2,38,3,0,,,,Bird likely had a concussion,,
07/29/2022,00:51:00,Off,On,2,,,,,,,2,0,0,0,1,0,0,0,Front of fish plant,0,0,,1,1,32,19,0,,,,,,
07/29/2022,01:44:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,0,2,0,1,1,32,19,0,,,,,,
08/10/2022,22:32:00,Off,On,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,Front of fish plant,0,2,,"1
4",Moon does not pass the meridan on this day,56,8,0,,,,Found in fish tub?,,
08/10/2022,23:41:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,2,,,1,Moon does not pass the meridan on this day,56,8,0,,,,Started staying for 2 nights,,
08/11/2022,00:34:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,0,1,,"1
4",98.5,31,19,0,,,,,,
08/11/2022,22:04:00,Off,On,0,8,8,0,0,8,0,8,0,0,0,0,0,0,0,NA,1,0,,1,98.5,31,19,0,,,,"No one working at the plant so lights were off, misID'd 8 adults as juveniles, fixed on September 9, 2023",,
08/11/2022,23:11:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,1,1,,1,98.5,31,19,0,,,,"Weather data not available, used weather from same night 22:04",,
08/12/2022,00:31:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,1,0,0,1,99.8,42,17,0,,,,"Weather data not available, used weather from same night 22:04",,
08/24/2022,21:00:00,Off,On,1,9,9,0,0,8,1,1,0,,0,,0,0,0,Front of fish plant,21,1,,1,7.4,71,16,0,,,,,,
08/24/2022,23:02:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,13,1,0,1,7.4,71,16,0,,,,,,
08/25/2022,00:30:00,Off,On,2,,,,,,,2,0,2,0,0,0,0,0,Front of fish plant,10,1,0,1,3.1,51,25,0,,,,,,
08/25/2022,01:38:00,Off,On,4,,,,,,,4,0,1,0,3,0,0,0,Front of fish plant,12,0,0,1,3.1,51,25,0,,,,1 bird found by shed close to car,,
08/25/2022,02:49:00,Off,On,2,,,,,,,1,1,0,1,1,0,0,0,"Back of fish plant
Out building",11,0,0,1,3.1,51,25,0,,,,,,
08/25/2022,21:06:00,On,On,0,52,52,0,0,52,0,0,0,0,0,0,0,0,0,NA,60,0,0,1,3.1,51,25,0,,,,"Time estimated, released bird from night before.",,
08/25/2022,23:57:00,On,On,34,,,,,,,34,0,19,0,15,0,0,0,"Front of fish plant
Back of fish plant
Out building",6,0,0,1,3.1,51,25,0,,,,,,
08/26/2022,01:23:00,On,On,9,,,,,,,9,0,5,0,4,0,0,0,"Front of fish plant
Wharf",,0,,1,0.7,34,25,0,,,,"No weather data available, chose weather conditions closest to time",,
08/26/2022,02:21:00,On,On,4,,,,,,,4,0,4,0,0,0,0,0,Front of fish plant,4,1,,1,0.7,34,25,0,,,,"No weather data available, chose weather conditions closest to time",,
