CYYT|202101020500|202101020100|202101020100|N|7|*|3|*|-6|38.88|300|*|74|-10|-15.31|1018.7|F|24.14|B|610.0|610|*|*|*|*|*|*|*|*|*|*|*|*|
CYYT|202101020600|202101020200|202101020200|N|18|*|3|*|-6.1|29.52|300|*|72|-10.4|-14.37|1019.1|F|24|O|800.0|800|*|*|*|0|*|0|1.1|*|-6.1|*|*|*|
CYYT|202101020700|202101020300|202101020300|N|7|*|3|*|-6|35.28|310|*|74|-10|-14.92|1019.4|F|24.14|B|640.0|640|*|*|*|*|*|*|*|*|*|*|*|*|
CYYT|202101020800|202101020400|202101020400|N|7|*|3|*|-6|22.32|300|*|74|-10|-13.21|1019.7|F|24.14|B|671.0|671|*|*|*|*|*|*|*|*|*|*|*|*|
CYYT|202101020900|202101020500|202101020500|N|15|*|3|*|-5.9|22.32|300|*|73|-10.1|-13.08|1020.3|F|24|B|800.0|800|*|*|*|*|*|*|*|*|*|*|*|*|
CYYT|202101021000|202101020600|202101020600|N|7|*|3|*|-5|24.12|290|*|74|-9|-12.21|1020.5|F|24.14|B|610.0|610|*|*|*|*|*|*|*|*|*|*|*|*|
CYYT|202101021100|202101020700|202101020700|N|7|*|3|*|-6|33.48|310|*|74|-10|-14.72|1020.7|F|24.14|B|610.0|610|*|*|*|*|*|*|*|*|*|*|*|*|
CYYT|202101021200|202101020800|202101020800|D|14|*|3|*|-5|27.72|300|*|68|-10|-12.71|1021.4|F|24.14|B|610.0|610|*|*|*|*|*|*|*|*|*|*|*|*|
CYYT|202101021300|202101020900|202101020900|D|14|*|3|*|-4|20.52|290|*|69|-9|-10.38|1022|F|24.14|B|732.0|732|*|*|*|*|*|*|*|*|*|*|*|*|
CYYT|202101021400|202101021000|202101021000|D|14|*|3|*|-4|31.68|320|*|63|-10|-11.89|1021.6|F|24.14|B|610.0|610|*|*|*|*|*|*|*|*|*|*|*|*|
